Date,Open,High,Low,Close,Volume,Max,Min,A,B,C,D,E,F,DB
2021-01-16,36821.648438,37864.367188,35633.554688,36178.140625,57706187875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,36163.648438,36722.351563,34069.320313,35791.277344,52359854336.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,35792.238281,37299.285156,34883.84375,36630.074219,49511702429.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19,36642.234375,37755.890625,36069.804688,36069.804688,57244195486.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-20,36050.113281,36378.328125,33570.476563,35547.75,66834573161.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-21,35549.398438,35552.679688,30250.75,30825.699219,75643067688.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-01-22,30817.625,33811.851563,28953.373047,33005.761719,77207272511.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-23,32985.757813,33360.976563,31493.160156,32067.642578,48354737975.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-24,32064.376953,32944.007813,31106.685547,32289.378906,48643830599.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-25,32285.798828,34802.742188,32087.787109,32366.392578,59897054838.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-26,32358.613281,32794.550781,31030.265625,32569.849609,60255421470.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-01-27,32564.029297,32564.029297,29367.138672,30432.546875,62576762015.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2021-01-28,30441.041016,31891.300781,30023.207031,31649.605469,78948162368.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2021-01-29,34318.671875,38406.261719,32064.814453,34316.386719,117894572511.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2021-01-30,34295.933594,34834.707031,32940.1875,34269.523438,65141828798.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,34270.878906,34288.332031,32270.175781,33114.359375,52754542671.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,33114.578125,34638.214844,32384.228516,33537.175781,61400400660.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-02,33533.199219,35896.882813,33489.21875,35510.289063,63088585433.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-03,35510.820313,37480.1875,35443.984375,37472.089844,61166818159.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-02-04,37475.105469,38592.175781,36317.5,36926.066406,68838074392.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-02-05,36931.546875,38225.90625,36658.761719,38144.308594,58598066402.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-02-06,38138.386719,40846.546875,38138.386719,39266.011719,71326033653.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-02-07,39250.191406,39621.835938,37446.152344,38903.441406,65500641143.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-08,38886.828125,46203.929688,38076.324219,46196.464844,101467222687.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-09,46184.992188,48003.722656,45166.960938,46481.105469,91809846886.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-02-10,46469.761719,47145.566406,43881.152344,44918.183594,87301089896.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-02-11,44898.710938,48463.46875,44187.761719,47909.332031,81388911810.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-02-12,47877.035156,48745.734375,46424.976563,47504.851563,76555041196.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-13,47491.203125,48047.746094,46392.28125,47105.515625,70250456155.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-14,47114.507813,49487.640625,47114.507813,48717.289063,71248675228.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2021-02-15,48696.535156,48875.570313,46347.476563,47945.058594,77069903166.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-02-16,47944.457031,50341.101563,47201.304688,49199.871094,77049582886.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2021-02-17,49207.277344,52533.914063,49072.378906,52149.007813,80820545404.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0
